eventDate,habitat,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLatitude,verbatimLongitude,verbatimLongitude,verbatimCoordinateSystem,verbatimCoordinateSystem,verbatimSRS,footprintWKT,georeferencedBy,georeferencedDate,georeferenceSources,georeference_verification_status,georeferenceRemarks,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,taxonConceptID,scientificName,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,namePublishedIn,name_published_in_year,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,taxonomicStatus,nomenclaturalStatus,taxonRemarks,species,verbatimIdentificationQualifier,provenance,recordID,dcterms:accessRights,verbatimContinent,verbatimBasisOfRecord
2000-04-25,,Spain,ES,,,Palma,campus Universidad de las Islas Baleares (UIB),,,,39.62,2.6,EPSG:4326,707.0,,31S 46 438,39.62,,2.60,,,,,,,,,,,,Not provided,,M. Mus,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,522e6ca4-7a3d-4fdf-9ac7-aa26ecd04dfa,,Europe,PreservedSpecimen
2020-04-27,,Spain,ES,,,,Spain - Pamplona,,,,42.821773,-1.666131,EPSG:4326,100.0,,,42.821773,,-1.666131,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,2e02b16c-8f37-4bba-ae3c-2ef96a6dec78,,,HumanObservation
1999-04-25,,Brazil,BR,,,,Santa Maria,,,,-29.69,-53.83,EPSG:4326,,,29º41'24''S 53º49'48''W,-29.6900,,-53.8300,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,0dd3141d-72fd-4f07-abc1-faf74084d282,,,PreservedSpecimen
1901-05-15,,Spain,,,,,Granada.,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,J.B.,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,dec1da41-d5ce-47eb-ac8f-6fbb02d4c8d0,,,PreservedSpecimen
1990-05-24,,Spain,ES,Araba/Álava,,,Vitoria-Gasteiz; Parque de La Florida,500.0,500.0,,42.84,-2.67,EPSG:4326,707.0,,,42.84,,-2.67,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,9aedd4a2-3b24-417f-ae32-a52a21064210,,,PreservedSpecimen
2021-05-22,,Spain,ES,,,,,,,,42.806184,-1.652869,EPSG:4326,657.0,,,42.806184,,-1.652869,,,,,,,,,,,,Not provided,,aitziberbergera,2021-05-23,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,9053007f-1979-436a-b19f-08b8ea1d0b98,,,HumanObservation
1990-05-30,,Spain,ES,,Sevilla,,Sevilla. Jardines de Chapina,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,C. Andrés,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,8d395d4d-3913-4e26-a495-f42ea933f8ff,,,PreservedSpecimen
1989-05-15,,Spain,ES,Araba/Álava,,,Vitoria-Gasteiz; Vitoria: parque de la Florida,500.0,505.0,,42.84,-2.67,EPSG:4326,707.0,,,42.84,,-2.67,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,7aa391fb-d625-474b-9547-15021f4e5217,,,PreservedSpecimen
1986-05-31,,Spain,,Girona,,Banyoles,Banyoles,,,,42.11,2.76,EPSG:4326,0.0,,31 T 48050-466322,42.11,"42º7'8,6''N",2.76,"2º45'51,4''E",,,,,,,,,,,Not provided,,Pilar Branyas i Arpa,,,,,,2687885,Ginkgo biloba Linnaeus,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,Linnaeus,,,,,Ginkgo biloba,,Published dataset,66aecdfd-ca1e-4c58-8c71-0675191006b5,,,PreservedSpecimen
1973-05-29,,Spain,,,,,Jardín de la Universidad,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,5116382b-0bcd-4077-b607-d4528896d13e,,,PreservedSpecimen
